country,crypto_owners,percentage,latitude,longitude
Ukraine,5565881,12.73,48.379433,31.16558
Russia,17379175,11.91,61.52401,105.318756
Venezuela,2941502,10.34,6.42375,-66.58973
Kenya,4580760,8.52,-0.023559,37.906193
United States of America,27491810,8.31,37.09024,-95.712891
South Africa,4215944,7.11,-30.559482,22.937506
Nigeria,13016341,6.31,9.081999,8.675277
Colombia,3122449,6.14,4.570868,-74.297333
Vietnam,5961684,6.12,14.058324,108.277199
India,100740320,7.30,20.593684,78.96288
Thailand,3629713,5.20,15.870032,100.992541
Brazil,10373187,4.88,-14.235004,-51.92528
United Kingdom,3360591,4.95,55.378051,-3.435973
Pakistan,9051827,4.10,30.375321,69.345116
Philippines,4360579,3.98,12.879721,121.774017
South Korea,1942933,3.79,35.907757,127.766922
Peru,1233892,3.74,-9.189967,-75.015152
Belarus,352498,3.73,53.709807,27.953389
Australia,857553,3.36,-25.274398,133.775136
France,2179654,3.34,46.227638,2.213749
Latvia,62091,3.29,56.879635,24.603189
Hong Kong,245012,3.27,22.396428,114.109497
Canada,1206627,3.20,56.130366,-106.346771
Malaysia,1019405,3.15,4.210484,101.975766
Netherlands,521404,3.04,52.132633,5.291266
Ghana,934482,3.01,7.946527,-1.023194
Argentina,1327067,2.94,-38.416097,-63.616672
Turkey,2476418,2.94,38.963745,35.243322
Georgia,115241,2.89,42.315407,43.356892
Ecuador,482496,2.73,-1.831239,-78.183406
Indonesia,7285707,2.66,-0.789275,113.921327
Germany,2191986,2.62,51.165691,10.451526
Chile,500125,2.62,-35.675147,-71.542969
Lithuania,70254,2.58,55.169438,23.881275
Slovakia,140249,2.57,48.669026,19.699024
Spain,1173340,2.51,40.463667,-3.74922
Poland,945298,2.50,51.919438,19.145136
Mexico,3189799,2.47,23.634501,-102.552784
Slovenia,50940,2.45,46.151241,14.995463
Estonia,32032,2.41,58.595272,25.013607
Morocco,878168,2.38,31.791702,-7.09262
Portugal,241389,2.37,39.399872,-8.224454
Belgium,272990,2.36,50.503887,4.469936
Bangladesh,3742571,2.27,23.684994,90.356331
Sweden,228309,2.26,60.128161,18.643501
Czechia,238285,2.23,49.817492,15.472962
Romania,423496,2.20,45.943161,24.96676
Italy,1309499,2.17,41.87194,12.56738
Singapore,549903,9.04,1.352083,103.819836
Panama,85779,1.99,8.537981,-80.782127
Iran,1649897,1.96,32.427908,53.688046
El Salvador,125873,1.94,13.794185,-88.89653
Austria,171578,1.91,47.516231,14.550072
Cameroon,499423,1.88,7.369722,12.354722
Finland,104241,1.88,61.92411,25.748151
Greece,194860,1.87,39.074208,21.824312
Dominican Rep.,201516,1.86,18.735693,-70.162651
Bolivia,215461,1.85,-16.290154,-63.588653
Tanzania,1095494,1.83,-6.369028,34.888822
Switzerland,157695,1.82,46.818188,8.227512
Uganda,828022,1.81,1.373333,32.290275
New Zealand,85008,1.76,-40.900557,174.885971
Egypt,1791852,1.75,26.820553,30.802498
Bulgaria,120842,1.74,42.733883,25.48583
Serbia,151954,1.74,44.016521,21.005859
Kazakhstan,324325,1.73,48.019573,66.923684
Norway,93640,1.73,60.472024,8.468946
Ireland,84704,1.72,53.41291,-8.24389
Cyprus,20139,1.67,35.126413,33.429859
Japan,2079653,1.64,36.204824,138.252924
Mozambique,499115,1.60,-18.665695,35.529562
Togo,131221,1.59,8.619543,0.824782
Montenegro,9955,1.59,42.708678,19.37439
Mauritius,20007,1.57,-20.348404,57.552152
United Arab Emirates,152077,1.54,23.424076,53.847818
Croatia,62150,1.51,45.1,15.2
Sri Lanka,321641,1.50,7.873054,80.771797
Costa Rica,75913,1.49,9.748917,-83.753428
Zambia,271781,1.48,-13.133897,27.849332
Rwanda,188410,1.45,-1.940278,29.873888
Nepal,423840,1.45,28.394857,84.124008
Malta,6371,1.44,35.937496,14.375416
Uruguay,50119,1.44,-32.522779,-55.765835
Denmark,79451,1.37,56.26392,9.501785
Bosnia and Herz.,45002,1.37,43.915886,17.679076
Hungary,131365,1.36,47.162494,19.503304
Moldova,54377,1.35,47.411631,28.369885
Cambodia,225368,1.35,12.565679,104.990963
Benin,161981,1.34,9.30769,2.315834
Guatemala,239375,1.34,15.783471,-90.230759
Jamaica,39214,1.32,18.109581,-77.297508
Saudi Arabia,452778,1.30,23.885942,45.079162
C̫te d'Ivoire,343067,1.30,7.539989,-5.54708
Jordan,129071,1.27,30.585164,36.238414
Israel,109493,1.27,31.046051,34.851612
Puerto Rico,35851,1.25,18.220833,-66.590149
Senegal,203874,1.22,14.497401,-14.452362
Luxembourg,7325,1.17,49.815273,6.129583
Trinidad and Tobago,16377,1.17,10.691803,-61.222503
Mali,232172,1.15,17.570692,-3.996166
Macedonia,23639,1.13,41.608635,21.745275
Kuwait,47949,1.12,29.31166,47.481766
Namibia,28529,1.12,-22.95764,18.49041
Armenia,33270,1.12,40.069099,45.038189
Congo,61302,1.11,-0.228021,15.827659
Nicaragua,73594,1.11,12.865416,-85.207229
Madagascar,301061,1.09,-18.766947,46.869107
Angola,349536,1.06,-11.202692,17.873887
Botswana,25010,1.06,-22.328474,24.684866
Barbados,3022,1.05,13.193887,-59.543198
Paraguay,75010,1.05,-23.442503,-58.443832
Tunisia,122890,1.04,33.886917,9.537499
Lebanon,70158,1.03,33.854721,35.862285
Uzbekistan,344047,1.03,41.377491,64.585262
Honduras,101815,1.03,15.199999,-86.241905
Syria,177824,1.02,34.802075,38.996815
Albania,28559,0.99,41.153332,20.168331
Qatar,28591,0.99,25.354826,51.183884
Iceland,3387,0.99,64.963051,-19.020835
Bahrain,16685,0.98,25.930414,50.637772
Ethiopia,1127264,0.98,9.145,40.489673
Kyrgyzstan,63199,0.97,41.20438,74.766098
Oman,49467,0.97,21.512583,55.923255
Azerbaijan,98217,0.97,40.143105,47.576927
Burkina Faso,197532,0.94,12.238333,-1.561593
Maldives,5108,0.94,3.202778,73.22068
Haiti,107752,0.94,18.971187,-72.285215
Yemen,278315,0.93,15.552727,48.516388
Suriname,5474,0.93,3.919305,-56.027783
Iraq,375328,0.93,33.223191,43.679291
Malawi,176240,0.92,-13.254308,34.301525
Bahamas,3576,0.91,25.03428,-77.39628
Sudan,101798,0.91,12.862807,30.217636
Brunei,3979,0.91,4.535277,114.727669
Myanmar,494815,0.91,21.913965,95.956223
Gabon,20241,0.91,-0.803689,11.609444
Belize,3569,0.90,17.189877,-88.49765
Papua New Guinea,79245,0.89,-6.314993,143.95555